"timezero","unit","target","value"
2024-02-24,"02","1 wk inc flu hosp","11"
2024-02-24,"02","1 wk flu hosp rate change","stable"
2024-02-24,"01","1 wk inc flu hosp","84"
2024-02-24,"01","1 wk flu hosp rate change","stable"
2024-02-24,"05","1 wk inc flu hosp","270"
2024-02-24,"05","1 wk flu hosp rate change","stable"
2024-02-24,"04","1 wk inc flu hosp","181"
2024-02-24,"04","1 wk flu hosp rate change","stable"
2024-02-24,"06","1 wk inc flu hosp","266"
2024-02-24,"06","1 wk flu hosp rate change","stable"
2024-02-24,"08","1 wk inc flu hosp","93"
2024-02-24,"08","1 wk flu hosp rate change","stable"
2024-02-24,"09","1 wk inc flu hosp","213"
2024-02-24,"09","1 wk flu hosp rate change","increase"
2024-02-24,"11","1 wk inc flu hosp","15"
2024-02-24,"11","1 wk flu hosp rate change","stable"
2024-02-24,"10","1 wk inc flu hosp","30"
2024-02-24,"10","1 wk flu hosp rate change","stable"
2024-02-24,"12","1 wk inc flu hosp","526"
2024-02-24,"12","1 wk flu hosp rate change","stable"
2024-02-24,"13","1 wk inc flu hosp","200"
2024-02-24,"13","1 wk flu hosp rate change","stable"
2024-02-24,"15","1 wk inc flu hosp","19"
2024-02-24,"15","1 wk flu hosp rate change","stable"
2024-02-24,"19","1 wk inc flu hosp","186"
2024-02-24,"19","1 wk flu hosp rate change","stable"
2024-02-24,"16","1 wk inc flu hosp","61"
2024-02-24,"16","1 wk flu hosp rate change","decrease"
2024-02-24,"17","1 wk inc flu hosp","321"
2024-02-24,"17","1 wk flu hosp rate change","stable"
2024-02-24,"18","1 wk inc flu hosp","320"
2024-02-24,"18","1 wk flu hosp rate change","stable"
2024-02-24,"20","1 wk inc flu hosp","87"
2024-02-24,"20","1 wk flu hosp rate change","stable"
2024-02-24,"21","1 wk inc flu hosp","279"
2024-02-24,"21","1 wk flu hosp rate change","stable"
2024-02-24,"22","1 wk inc flu hosp","79"
2024-02-24,"22","1 wk flu hosp rate change","stable"
2024-02-24,"25","1 wk inc flu hosp","508"
2024-02-24,"25","1 wk flu hosp rate change","stable"
2024-02-24,"24","1 wk inc flu hosp","170"
2024-02-24,"24","1 wk flu hosp rate change","stable"
2024-02-24,"23","1 wk inc flu hosp","65"
2024-02-24,"23","1 wk flu hosp rate change","stable"
2024-02-24,"26","1 wk inc flu hosp","901"
2024-02-24,"26","1 wk flu hosp rate change","stable"
2024-02-24,"27","1 wk inc flu hosp","175"
2024-02-24,"27","1 wk flu hosp rate change","stable"
2024-02-24,"29","1 wk inc flu hosp","426"
2024-02-24,"29","1 wk flu hosp rate change","stable"
2024-02-24,"28","1 wk inc flu hosp","66"
2024-02-24,"28","1 wk flu hosp rate change","stable"
2024-02-24,"30","1 wk inc flu hosp","29"
2024-02-24,"30","1 wk flu hosp rate change","stable"
2024-02-24,"37","1 wk inc flu hosp","160"
2024-02-24,"37","1 wk flu hosp rate change","stable"
2024-02-24,"38","1 wk inc flu hosp","26"
2024-02-24,"38","1 wk flu hosp rate change","stable"
2024-02-24,"31","1 wk inc flu hosp","95"
2024-02-24,"31","1 wk flu hosp rate change","stable"
2024-02-24,"33","1 wk inc flu hosp","39"
2024-02-24,"33","1 wk flu hosp rate change","stable"
2024-02-24,"34","1 wk inc flu hosp","360"
2024-02-24,"34","1 wk flu hosp rate change","stable"
2024-02-24,"35","1 wk inc flu hosp","59"
2024-02-24,"35","1 wk flu hosp rate change","stable"
2024-02-24,"32","1 wk inc flu hosp","41"
2024-02-24,"32","1 wk flu hosp rate change","stable"
2024-02-24,"36","1 wk inc flu hosp","760"
2024-02-24,"36","1 wk flu hosp rate change","stable"
2024-02-24,"39","1 wk inc flu hosp","616"
2024-02-24,"39","1 wk flu hosp rate change","stable"
2024-02-24,"40","1 wk inc flu hosp","177"
2024-02-24,"40","1 wk flu hosp rate change","stable"
2024-02-24,"41","1 wk inc flu hosp","77"
2024-02-24,"41","1 wk flu hosp rate change","stable"
2024-02-24,"42","1 wk inc flu hosp","542"
2024-02-24,"42","1 wk flu hosp rate change","stable"
2024-02-24,"72","1 wk inc flu hosp","43"
2024-02-24,"72","1 wk flu hosp rate change","stable"
2024-02-24,"44","1 wk inc flu hosp","27"
2024-02-24,"44","1 wk flu hosp rate change","stable"
2024-02-24,"45","1 wk inc flu hosp","108"
2024-02-24,"45","1 wk flu hosp rate change","stable"
2024-02-24,"46","1 wk inc flu hosp","46"
2024-02-24,"46","1 wk flu hosp rate change","stable"
2024-02-24,"47","1 wk inc flu hosp","243"
2024-02-24,"47","1 wk flu hosp rate change","stable"
2024-02-24,"48","1 wk inc flu hosp","627"
2024-02-24,"48","1 wk flu hosp rate change","stable"
2024-02-24,"US","1 wk inc flu hosp","10376"
2024-02-24,"US","1 wk flu hosp rate change","stable"
2024-02-24,"49","1 wk inc flu hosp","19"
2024-02-24,"49","1 wk flu hosp rate change","stable"
2024-02-24,"51","1 wk inc flu hosp","220"
2024-02-24,"51","1 wk flu hosp rate change","stable"
2024-02-24,"50","1 wk inc flu hosp","27"
2024-02-24,"50","1 wk flu hosp rate change","stable"
2024-02-24,"53","1 wk inc flu hosp","75"
2024-02-24,"53","1 wk flu hosp rate change","stable"
2024-02-24,"55","1 wk inc flu hosp","200"
2024-02-24,"55","1 wk flu hosp rate change","stable"
2024-02-24,"54","1 wk inc flu hosp","181"
2024-02-24,"54","1 wk flu hosp rate change","increase"
2024-02-24,"56","1 wk inc flu hosp","27"
2024-02-24,"56","1 wk flu hosp rate change","stable"
2024-02-17,"02","1 wk inc flu hosp","4"
2024-02-17,"02","1 wk flu hosp rate change","stable"
2024-02-17,"01","1 wk inc flu hosp","89"
2024-02-17,"01","1 wk flu hosp rate change","stable"
2024-02-17,"05","1 wk inc flu hosp","278"
2024-02-17,"05","1 wk flu hosp rate change","stable"
2024-02-17,"04","1 wk inc flu hosp","195"
2024-02-17,"04","1 wk flu hosp rate change","stable"
2024-02-17,"06","1 wk inc flu hosp","306"
2024-02-17,"06","1 wk flu hosp rate change","stable"
2024-02-17,"08","1 wk inc flu hosp","129"
2024-02-17,"08","1 wk flu hosp rate change","stable"
2024-02-17,"09","1 wk inc flu hosp","173"
2024-02-17,"09","1 wk flu hosp rate change","increase"
2024-02-17,"11","1 wk inc flu hosp","18"
2024-02-17,"11","1 wk flu hosp rate change","stable"
2024-02-17,"10","1 wk inc flu hosp","24"
2024-02-17,"10","1 wk flu hosp rate change","decrease"
2024-02-17,"12","1 wk inc flu hosp","624"
2024-02-17,"12","1 wk flu hosp rate change","stable"
2024-02-17,"13","1 wk inc flu hosp","184"
2024-02-17,"13","1 wk flu hosp rate change","stable"
2024-02-17,"15","1 wk inc flu hosp","14"
2024-02-17,"15","1 wk flu hosp rate change","stable"
2024-02-17,"19","1 wk inc flu hosp","157"
2024-02-17,"19","1 wk flu hosp rate change","stable"
2024-02-17,"16","1 wk inc flu hosp","90"
2024-02-17,"16","1 wk flu hosp rate change","increase"
2024-02-17,"17","1 wk inc flu hosp","295"
2024-02-17,"17","1 wk flu hosp rate change","stable"
2024-02-17,"18","1 wk inc flu hosp","346"
2024-02-17,"18","1 wk flu hosp rate change","stable"
2024-02-17,"20","1 wk inc flu hosp","81"
2024-02-17,"20","1 wk flu hosp rate change","large_decrease"
2024-02-17,"21","1 wk inc flu hosp","281"
2024-02-17,"21","1 wk flu hosp rate change","stable"
2024-02-17,"22","1 wk inc flu hosp","95"
2024-02-17,"22","1 wk flu hosp rate change","stable"
2024-02-17,"25","1 wk inc flu hosp","440"
2024-02-17,"25","1 wk flu hosp rate change","stable"
2024-02-17,"24","1 wk inc flu hosp","111"
2024-02-17,"24","1 wk flu hosp rate change","stable"
2024-02-17,"23","1 wk inc flu hosp","68"
2024-02-17,"23","1 wk flu hosp rate change","decrease"
2024-02-17,"26","1 wk inc flu hosp","839"
2024-02-17,"26","1 wk flu hosp rate change","increase"
2024-02-17,"27","1 wk inc flu hosp","159"
2024-02-17,"27","1 wk flu hosp rate change","stable"
2024-02-17,"29","1 wk inc flu hosp","447"
2024-02-17,"29","1 wk flu hosp rate change","increase"
2024-02-17,"28","1 wk inc flu hosp","59"
2024-02-17,"28","1 wk flu hosp rate change","decrease"
2024-02-17,"30","1 wk inc flu hosp","22"
2024-02-17,"30","1 wk flu hosp rate change","stable"
2024-02-17,"37","1 wk inc flu hosp","160"
2024-02-17,"37","1 wk flu hosp rate change","stable"
2024-02-17,"38","1 wk inc flu hosp","25"
2024-02-17,"38","1 wk flu hosp rate change","stable"
2024-02-17,"31","1 wk inc flu hosp","86"
2024-02-17,"31","1 wk flu hosp rate change","increase"
2024-02-17,"33","1 wk inc flu hosp","33"
2024-02-17,"33","1 wk flu hosp rate change","stable"
2024-02-17,"34","1 wk inc flu hosp","297"
2024-02-17,"34","1 wk flu hosp rate change","stable"
2024-02-17,"35","1 wk inc flu hosp","60"
2024-02-17,"35","1 wk flu hosp rate change","stable"
2024-02-17,"32","1 wk inc flu hosp","43"
2024-02-17,"32","1 wk flu hosp rate change","stable"
2024-02-17,"36","1 wk inc flu hosp","798"
2024-02-17,"36","1 wk flu hosp rate change","stable"
2024-02-17,"39","1 wk inc flu hosp","660"
2024-02-17,"39","1 wk flu hosp rate change","stable"
2024-02-17,"40","1 wk inc flu hosp","171"
2024-02-17,"40","1 wk flu hosp rate change","large_decrease"
2024-02-17,"41","1 wk inc flu hosp","89"
2024-02-17,"41","1 wk flu hosp rate change","stable"
2024-02-17,"42","1 wk inc flu hosp","487"
2024-02-17,"42","1 wk flu hosp rate change","stable"
2024-02-17,"72","1 wk inc flu hosp","52"
2024-02-17,"72","1 wk flu hosp rate change","stable"
2024-02-17,"44","1 wk inc flu hosp","35"
2024-02-17,"44","1 wk flu hosp rate change","stable"
2024-02-17,"45","1 wk inc flu hosp","112"
2024-02-17,"45","1 wk flu hosp rate change","stable"
2024-02-17,"46","1 wk inc flu hosp","42"
2024-02-17,"46","1 wk flu hosp rate change","increase"
2024-02-17,"47","1 wk inc flu hosp","203"
2024-02-17,"47","1 wk flu hosp rate change","stable"
2024-02-17,"48","1 wk inc flu hosp","788"
2024-02-17,"48","1 wk flu hosp rate change","stable"
2024-02-17,"US","1 wk inc flu hosp","10415"
