"timezero","unit","target","value"
2021-12-06,"02","1 wk ahead inc flu hosp",0
2021-12-06,"01","1 wk ahead inc flu hosp",23
2021-12-06,"05","1 wk ahead inc flu hosp",11
2021-12-06,"04","1 wk ahead inc flu hosp",30
2021-12-06,"06","1 wk ahead inc flu hosp",66
2021-12-06,"08","1 wk ahead inc flu hosp",30
2021-12-06,"09","1 wk ahead inc flu hosp",16
2021-12-06,"11","1 wk ahead inc flu hosp",3
2021-12-06,"10","1 wk ahead inc flu hosp",10
2021-12-06,"12","1 wk ahead inc flu hosp",92
2021-12-06,"13","1 wk ahead inc flu hosp",52
2021-12-06,"15","1 wk ahead inc flu hosp",0
2021-12-06,"19","1 wk ahead inc flu hosp",4
2021-12-06,"16","1 wk ahead inc flu hosp",1
2021-12-06,"17","1 wk ahead inc flu hosp",25
2021-12-06,"18","1 wk ahead inc flu hosp",37
2021-12-06,"20","1 wk ahead inc flu hosp",8
2021-12-06,"21","1 wk ahead inc flu hosp",7
2021-12-06,"22","1 wk ahead inc flu hosp",30
2021-12-06,"25","1 wk ahead inc flu hosp",25
2021-12-06,"24","1 wk ahead inc flu hosp",5
2021-12-06,"23","1 wk ahead inc flu hosp",2
2021-12-06,"26","1 wk ahead inc flu hosp",58
2021-12-06,"27","1 wk ahead inc flu hosp",28
2021-12-06,"29","1 wk ahead inc flu hosp",39
2021-12-06,"28","1 wk ahead inc flu hosp",8
2021-12-06,"30","1 wk ahead inc flu hosp",1
2021-12-06,"37","1 wk ahead inc flu hosp",42
2021-12-06,"38","1 wk ahead inc flu hosp",3
2021-12-06,"31","1 wk ahead inc flu hosp",18
2021-12-06,"33","1 wk ahead inc flu hosp",6
2021-12-06,"34","1 wk ahead inc flu hosp",48
2021-12-06,"35","1 wk ahead inc flu hosp",2
2021-12-06,"32","1 wk ahead inc flu hosp",6
2021-12-06,"36","1 wk ahead inc flu hosp",82
2021-12-06,"39","1 wk ahead inc flu hosp",43
2021-12-06,"40","1 wk ahead inc flu hosp",36
2021-12-06,"41","1 wk ahead inc flu hosp",6
2021-12-06,"42","1 wk ahead inc flu hosp",87
2021-12-06,"72","1 wk ahead inc flu hosp",22
2021-12-06,"44","1 wk ahead inc flu hosp",3
2021-12-06,"45","1 wk ahead inc flu hosp",21
2021-12-06,"46","1 wk ahead inc flu hosp",9
2021-12-06,"47","1 wk ahead inc flu hosp",38
2021-12-06,"48","1 wk ahead inc flu hosp",74
2021-12-06,"US","1 wk ahead inc flu hosp",1223
2021-12-06,"49","1 wk ahead inc flu hosp",2
2021-12-06,"51","1 wk ahead inc flu hosp",43
2021-12-06,"78","1 wk ahead inc flu hosp",0
2021-12-06,"50","1 wk ahead inc flu hosp",0
2021-12-06,"53","1 wk ahead inc flu hosp",1
2021-12-06,"55","1 wk ahead inc flu hosp",6
2021-12-06,"54","1 wk ahead inc flu hosp",13
2021-12-06,"56","1 wk ahead inc flu hosp",1
2021-12-13,"02","1 wk ahead inc flu hosp",2
2021-12-13,"01","1 wk ahead inc flu hosp",34
2021-12-13,"05","1 wk ahead inc flu hosp",14
2021-12-13,"04","1 wk ahead inc flu hosp",44
2021-12-13,"06","1 wk ahead inc flu hosp",70
2021-12-13,"08","1 wk ahead inc flu hosp",41
2021-12-13,"09","1 wk ahead inc flu hosp",16
2021-12-13,"11","1 wk ahead inc flu hosp",0
2021-12-13,"10","1 wk ahead inc flu hosp",13
2021-12-13,"12","1 wk ahead inc flu hosp",107
2021-12-13,"13","1 wk ahead inc flu hosp",48
2021-12-13,"15","1 wk ahead inc flu hosp",0
2021-12-13,"19","1 wk ahead inc flu hosp",2
2021-12-13,"16","1 wk ahead inc flu hosp",2
2021-12-13,"17","1 wk ahead inc flu hosp",28
2021-12-13,"18","1 wk ahead inc flu hosp",49
2021-12-13,"20","1 wk ahead inc flu hosp",16
2021-12-13,"21","1 wk ahead inc flu hosp",9
2021-12-13,"22","1 wk ahead inc flu hosp",35
2021-12-13,"25","1 wk ahead inc flu hosp",26
2021-12-13,"24","1 wk ahead inc flu hosp",34
2021-12-13,"23","1 wk ahead inc flu hosp",1
2021-12-13,"26","1 wk ahead inc flu hosp",56
2021-12-13,"27","1 wk ahead inc flu hosp",42
2021-12-13,"29","1 wk ahead inc flu hosp",53
2021-12-13,"28","1 wk ahead inc flu hosp",19
2021-12-13,"30","1 wk ahead inc flu hosp",3
2021-12-13,"37","1 wk ahead inc flu hosp",45
2021-12-13,"38","1 wk ahead inc flu hosp",7
2021-12-13,"31","1 wk ahead inc flu hosp",13
