"timezero","unit","target","value"
2023-12-02,"02","1 wk inc flu hosp","11"
2023-12-02,"02","1 wk flu hosp rate change","stable"
2023-12-02,"01","1 wk inc flu hosp","106"
2023-12-02,"01","1 wk flu hosp rate change","stable"
2023-12-02,"05","1 wk inc flu hosp","40"
2023-12-02,"05","1 wk flu hosp rate change","stable"
2023-12-02,"04","1 wk inc flu hosp","395"
2023-12-02,"04","1 wk flu hosp rate change","increase"
2023-12-02,"06","1 wk inc flu hosp","833"
2023-12-02,"06","1 wk flu hosp rate change","stable"
2023-12-02,"08","1 wk inc flu hosp","156"
2023-12-02,"08","1 wk flu hosp rate change","stable"
2023-12-02,"09","1 wk inc flu hosp","74"
2023-12-02,"09","1 wk flu hosp rate change","stable"
2023-12-02,"11","1 wk inc flu hosp","10"
2023-12-02,"11","1 wk flu hosp rate change","stable"
2023-12-02,"10","1 wk inc flu hosp","10"
2023-12-02,"10","1 wk flu hosp rate change","stable"
2023-12-02,"12","1 wk inc flu hosp","740"
2023-12-02,"12","1 wk flu hosp rate change","stable"
2023-12-02,"13","1 wk inc flu hosp","189"
2023-12-02,"13","1 wk flu hosp rate change","stable"
2023-12-02,"15","1 wk inc flu hosp","30"
2023-12-02,"15","1 wk flu hosp rate change","stable"
2023-12-02,"19","1 wk inc flu hosp","24"
2023-12-02,"19","1 wk flu hosp rate change","stable"
2023-12-02,"16","1 wk inc flu hosp","42"
2023-12-02,"16","1 wk flu hosp rate change","increase"
2023-12-02,"17","1 wk inc flu hosp","200"
2023-12-02,"17","1 wk flu hosp rate change","stable"
2023-12-02,"18","1 wk inc flu hosp","185"
2023-12-02,"18","1 wk flu hosp rate change","stable"
2023-12-02,"20","1 wk inc flu hosp","27"
2023-12-02,"20","1 wk flu hosp rate change","stable"
2023-12-02,"21","1 wk inc flu hosp","48"
2023-12-02,"21","1 wk flu hosp rate change","stable"
2023-12-02,"22","1 wk inc flu hosp","158"
2023-12-02,"22","1 wk flu hosp rate change","stable"
2023-12-02,"25","1 wk inc flu hosp","40"
2023-12-02,"25","1 wk flu hosp rate change","stable"
2023-12-02,"24","1 wk inc flu hosp","78"
2023-12-02,"24","1 wk flu hosp rate change","stable"
2023-12-02,"23","1 wk inc flu hosp","14"
2023-12-02,"23","1 wk flu hosp rate change","stable"
2023-12-02,"26","1 wk inc flu hosp","173"
2023-12-02,"26","1 wk flu hosp rate change","stable"
2023-12-02,"27","1 wk inc flu hosp","48"
2023-12-02,"27","1 wk flu hosp rate change","stable"
2023-12-02,"29","1 wk inc flu hosp","149"
2023-12-02,"29","1 wk flu hosp rate change","increase"
2023-12-02,"28","1 wk inc flu hosp","74"
2023-12-02,"28","1 wk flu hosp rate change","stable"
2023-12-02,"30","1 wk inc flu hosp","21"
2023-12-02,"30","1 wk flu hosp rate change","stable"
2023-12-02,"37","1 wk inc flu hosp","311"
2023-12-02,"37","1 wk flu hosp rate change","stable"
2023-12-02,"38","1 wk inc flu hosp","12"
2023-12-02,"38","1 wk flu hosp rate change","stable"
2023-12-02,"31","1 wk inc flu hosp","9"
2023-12-02,"31","1 wk flu hosp rate change","stable"
2023-12-02,"33","1 wk inc flu hosp","15"
2023-12-02,"33","1 wk flu hosp rate change","stable"
2023-12-02,"34","1 wk inc flu hosp","154"
2023-12-02,"34","1 wk flu hosp rate change","stable"
2023-12-02,"35","1 wk inc flu hosp","80"
2023-12-02,"35","1 wk flu hosp rate change","increase"
2023-12-02,"32","1 wk inc flu hosp","78"
2023-12-02,"32","1 wk flu hosp rate change","stable"
2023-12-02,"36","1 wk inc flu hosp","531"
2023-12-02,"36","1 wk flu hosp rate change","stable"
2023-12-02,"39","1 wk inc flu hosp","132"
2023-12-02,"39","1 wk flu hosp rate change","stable"
2023-12-02,"40","1 wk inc flu hosp","67"
2023-12-02,"40","1 wk flu hosp rate change","stable"
2023-12-02,"41","1 wk inc flu hosp","39"
2023-12-02,"41","1 wk flu hosp rate change","stable"
2023-12-02,"42","1 wk inc flu hosp","296"
2023-12-02,"42","1 wk flu hosp rate change","stable"
2023-12-02,"72","1 wk inc flu hosp","62"
2023-12-02,"72","1 wk flu hosp rate change","stable"
2023-12-02,"44","1 wk inc flu hosp","6"
2023-12-02,"44","1 wk flu hosp rate change","stable"
2023-12-02,"45","1 wk inc flu hosp","169"
2023-12-02,"45","1 wk flu hosp rate change","stable"
2023-12-02,"46","1 wk inc flu hosp","8"
2023-12-02,"46","1 wk flu hosp rate change","stable"
2023-12-02,"47","1 wk inc flu hosp","154"
2023-12-02,"47","1 wk flu hosp rate change","stable"
2023-12-02,"48","1 wk inc flu hosp","814"
2023-12-02,"48","1 wk flu hosp rate change","stable"
2023-12-02,"US","1 wk inc flu hosp","7244"
2023-12-02,"US","1 wk flu hosp rate change","stable"
2023-12-02,"49","1 wk inc flu hosp","17"
2023-12-02,"49","1 wk flu hosp rate change","stable"
2023-12-02,"51","1 wk inc flu hosp","155"
2023-12-02,"51","1 wk flu hosp rate change","stable"
2023-12-02,"50","1 wk inc flu hosp","8"
2023-12-02,"50","1 wk flu hosp rate change","stable"
2023-12-02,"53","1 wk inc flu hosp","82"
2023-12-02,"53","1 wk flu hosp rate change","stable"
2023-12-02,"55","1 wk inc flu hosp","102"
2023-12-02,"55","1 wk flu hosp rate change","stable"
2023-12-02,"54","1 wk inc flu hosp","20"
2023-12-02,"54","1 wk flu hosp rate change","stable"
2023-12-02,"56","1 wk inc flu hosp","48"
2023-12-02,"56","1 wk flu hosp rate change","large_increase"
2023-11-25,"02","1 wk inc flu hosp","15"
2023-11-25,"02","1 wk flu hosp rate change","stable"
2023-11-25,"01","1 wk inc flu hosp","85"
2023-11-25,"01","1 wk flu hosp rate change","stable"
2023-11-25,"05","1 wk inc flu hosp","24"
2023-11-25,"05","1 wk flu hosp rate change","stable"
2023-11-25,"04","1 wk inc flu hosp","279"
2023-11-25,"04","1 wk flu hosp rate change","stable"
2023-11-25,"06","1 wk inc flu hosp","667"
2023-11-25,"06","1 wk flu hosp rate change","stable"
2023-11-25,"08","1 wk inc flu hosp","126"
2023-11-25,"08","1 wk flu hosp rate change","stable"
2023-11-25,"09","1 wk inc flu hosp","57"
2023-11-25,"09","1 wk flu hosp rate change","stable"
2023-11-25,"11","1 wk inc flu hosp","11"
2023-11-25,"11","1 wk flu hosp rate change","stable"
2023-11-25,"10","1 wk inc flu hosp","2"
2023-11-25,"10","1 wk flu hosp rate change","stable"
2023-11-25,"12","1 wk inc flu hosp","745"
2023-11-25,"12","1 wk flu hosp rate change","stable"
2023-11-25,"13","1 wk inc flu hosp","219"
2023-11-25,"13","1 wk flu hosp rate change","stable"
2023-11-25,"15","1 wk inc flu hosp","23"
2023-11-25,"15","1 wk flu hosp rate change","stable"
2023-11-25,"19","1 wk inc flu hosp","44"
2023-11-25,"19","1 wk flu hosp rate change","stable"
2023-11-25,"16","1 wk inc flu hosp","19"
2023-11-25,"16","1 wk flu hosp rate change","stable"
2023-11-25,"17","1 wk inc flu hosp","165"
2023-11-25,"17","1 wk flu hosp rate change","stable"
2023-11-25,"18","1 wk inc flu hosp","149"
2023-11-25,"18","1 wk flu hosp rate change","stable"
2023-11-25,"20","1 wk inc flu hosp","36"
2023-11-25,"20","1 wk flu hosp rate change","stable"
2023-11-25,"21","1 wk inc flu hosp","58"
2023-11-25,"21","1 wk flu hosp rate change","stable"
2023-11-25,"22","1 wk inc flu hosp","122"
2023-11-25,"22","1 wk flu hosp rate change","stable"
2023-11-25,"25","1 wk inc flu hosp","99"
2023-11-25,"25","1 wk flu hosp rate change","stable"
2023-11-25,"24","1 wk inc flu hosp","60"
2023-11-25,"24","1 wk flu hosp rate change","stable"
2023-11-25,"23","1 wk inc flu hosp","9"
2023-11-25,"23","1 wk flu hosp rate change","stable"
2023-11-25,"26","1 wk inc flu hosp","106"
2023-11-25,"26","1 wk flu hosp rate change","stable"
2023-11-25,"27","1 wk inc flu hosp","34"
2023-11-25,"27","1 wk flu hosp rate change","stable"
2023-11-25,"29","1 wk inc flu hosp","85"
2023-11-25,"29","1 wk flu hosp rate change","stable"
2023-11-25,"28","1 wk inc flu hosp","77"
2023-11-25,"28","1 wk flu hosp rate change","increase"
2023-11-25,"30","1 wk inc flu hosp","18"
2023-11-25,"30","1 wk flu hosp rate change","increase"
2023-11-25,"37","1 wk inc flu hosp","213"
2023-11-25,"37","1 wk flu hosp rate change","stable"
2023-11-25,"38","1 wk inc flu hosp","14"
2023-11-25,"38","1 wk flu hosp rate change","increase"
2023-11-25,"31","1 wk inc flu hosp","8"
2023-11-25,"31","1 wk flu hosp rate change","stable"
2023-11-25,"33","1 wk inc flu hosp","6"
2023-11-25,"33","1 wk flu hosp rate change","stable"
2023-11-25,"34","1 wk inc flu hosp","129"
2023-11-25,"34","1 wk flu hosp rate change","stable"
2023-11-25,"35","1 wk inc flu hosp","43"
2023-11-25,"35","1 wk flu hosp rate change","increase"
2023-11-25,"32","1 wk inc flu hosp","51"
2023-11-25,"32","1 wk flu hosp rate change","stable"
2023-11-25,"36","1 wk inc flu hosp","345"
2023-11-25,"36","1 wk flu hosp rate change","stable"
2023-11-25,"39","1 wk inc flu hosp","134"
2023-11-25,"39","1 wk flu hosp rate change","stable"
2023-11-25,"40","1 wk inc flu hosp","71"
2023-11-25,"40","1 wk flu hosp rate change","stable"
2023-11-25,"41","1 wk inc flu hosp","17"
2023-11-25,"41","1 wk flu hosp rate change","stable"
2023-11-25,"42","1 wk inc flu hosp","228"
2023-11-25,"42","1 wk flu hosp rate change","stable"
2023-11-25,"72","1 wk inc flu hosp","91"
2023-11-25,"72","1 wk flu hosp rate change","stable"
2023-11-25,"44","1 wk inc flu hosp","6"
2023-11-25,"44","1 wk flu hosp rate change","stable"
2023-11-25,"45","1 wk inc flu hosp","133"
2023-11-25,"45","1 wk flu hosp rate change","increase"
2023-11-25,"46","1 wk inc flu hosp","7"
2023-11-25,"46","1 wk flu hosp rate change","stable"
2023-11-25,"47","1 wk inc flu hosp","99"
2023-11-25,"47","1 wk flu hosp rate change","stable"
2023-11-25,"48","1 wk inc flu hosp","706"
2023-11-25,"48","1 wk flu hosp rate change","stable"
2023-11-25,"US","1 wk inc flu hosp","5972"
2023-11-25,"US","1 wk flu hosp rate change","stable"
2023-11-25,"49","1 wk inc flu hosp","17"
2023-11-25,"49","1 wk flu hosp rate change","stable"
2023-11-25,"51","1 wk inc flu hosp","143"
2023-11-25,"51","1 wk flu hosp rate change","stable"
2023-11-25,"50","1 wk inc flu hosp","3"
2023-11-25,"50","1 wk flu hosp rate change","stable"
2023-11-25,"53","1 wk inc flu hosp","74"
2023-11-25,"53","1 wk flu hosp rate change","stable"
2023-11-25,"55","1 wk inc flu hosp","59"
2023-11-25,"55","1 wk flu hosp rate change","stable"
2023-11-25,"54","1 wk inc flu hosp","17"
2023-11-25,"54","1 wk flu hosp rate change","stable"
2023-11-25,"56","1 wk inc flu hosp","24"
2023-11-25,"56","1 wk flu hosp rate change","stable"
2023-11-18,"02","1 wk inc flu hosp","14"
2023-11-18,"02","1 wk flu hosp rate change","stable"
2023-11-18,"01","1 wk inc flu hosp","73"
2023-11-18,"01","1 wk flu hosp rate change","stable"
2023-11-18,"05","1 wk inc flu hosp","27"
2023-11-18,"05","1 wk flu hosp rate change","stable"
2023-11-18,"04","1 wk inc flu hosp","211"
2023-11-18,"04","1 wk flu hosp rate change","stable"
2023-11-18,"06","1 wk inc flu hosp","457"
